size,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16
16K,85511,82088,76638,71122,74348,71923,71181,42098,63950,65363,61827,74154,83506,81079,81849,63812
32K,87369,84140,84249,77567,80395,79125,78299,62467,74968,74347,74779,68320,69483,71064,70606,55904
64K,59047,54274,51780,48635,44265,41740,38663,36554,41534,53128,66134,75660,79156,78561,77787,41398
128K,58397,54021,53239,48929,44262,41252,37052,35533,34296,34165,34528,34520,34635,34353,36108,31522
256K,50002,43029,40550,38486,35080,31191,27495,24142,26727,29125,29154,30576,33888,34384,34355,12986
512K,49002,40761,37474,35570,32835,28417,24690,21657,21607,21717,21553,21699,21920,22320,23290,8981
1M,48827,41049,38301,35959,32774,28703,24291,21663,21888,21588,21353,20402,21399,21170,21730,9049
2M,47995,40464,37671,34798,31490,27463,23916,20748,21594,21650,21498,21628,21358,21581,21685,8837
4M,41162,28828,21493,15887,12821,10600,9208,8064,8549,9299,10357,12016,13209,14237,15207,4139
8M,40159,24762,15400,12269,9815,8209,7139,6333,6073,5922,5881,6027,6065,6130,6404,3346
16M,32551,21045,15769,11953,9676,8109,7024,6254,5958,5807,5836,5865,5634,5671,5716,3306
32M,19488,11657,9323,8091,6880,6762,5812,5479,5135,4953,4649,4978,5112,5312,4993,2980
64M,23579,11954,8976,6879,5553,5190,4649,4307,3823,3943,3799,3571,3650,3621,3584,2554
128M,21993,11895,8095,6241,5207,4563,4002,3982,3801,3692,3552,3314,3201,3025,3080,2376
